Date,Category,SubCategory,Expense Amount,Account,Payee,Notes,Device
2014-08-01,"Business","Meal Claim","     55.09","OCBC Titanium","","USD 16.80",""
2014-08-02,"Business","Meal Claim","     31.16","OCBC Titanium","","USD 9.50",""
2014-08-02,"Business","Meal Claim","     58.04","OCBC Titanium","","USD 17.69",""
2014-08-02,"Business","Meal Claim","    286.11","OCBC Titanium","","USD 87.23 with Sasha",""
2014-08-03,"Business","Meal Claim","     26.23","Maybankard Amex","","USD 7.96",""
2014-08-03,"Business","Meal Claim","    204.33","OCBC Titanium","","USD 62.30 Tim,Shuang,Stephanie,Sasha",""
2014-08-04,"Business","Travel Claim","     62.10","Maybankard Amex","","USD 19.00",""
2014-08-04,"Business","Meal Claim","     12.95","OCBC Titanium","","USD 3.96",""
2014-08-04,"Business","Meal Claim","     42.79","OCBC Titanium","","USD 13.08",""
2014-08-04,"Business","Meal Claim","     24.45","OCBC Titanium","","USD 7.48 for Tim",""
2014-08-05,"Business","Meal Claim","     48.07","OCBC Titanium","","USD 14.76",""
2014-08-05,"Business","Meal Claim","     33.79","OCBC Titanium","","USD 10.38",""
2014-08-05,"Business","Meal Claim","     19.47","OCBC Titanium","","USD 5.98",""
2014-08-05,"Business","Meal Claim","     15.92","OCBC Titanium","","USD 4.86",""
2014-08-06,"Business","Meal Claim","     31.29","OCBC Titanium","","USD 9.58",""
2014-08-06,"Business","Meal Claim","     78.61","OCBC Titanium","","USD 23.98",""
2014-08-07,"Business","Meal Claim","     35.22","OCBC Titanium","","USD 10.75",""
2014-08-08,"Business","Meal Claim","     38.56","OCBC Titanium","","USD 11.77",""
2014-08-08,"Business","Meal Claim","      9.64","OCBC Titanium","","USD 2.94",""
2014-08-08,"Business","Meal Claim","    139.41","OCBC Titanium","","USD 42.53",""
2014-08-09,"Business","Meal Claim","    123.12","OCBC Titanium","","USD 37.56",""
2014-08-09,"Business","Meal Claim","     61.24","Maybankard Amex","","USD 18.59",""
2014-08-10,"Business","Meal Claim","     65.95","Maybankard Amex","","USD 20.00",""
2014-08-10,"Business","Meal Claim","     28.49","Maybankard Amex","","USD 8.65",""
2014-08-10,"Business","Meal Claim","    105.41","Maybankard Amex","","USD 32.00",""
2014-08-10,"Business","Meal Claim","     17.45","Maybankard Amex","","USD 5.30",""
2014-08-11,"Business","Meal Claim","     55.49","OCBC Titanium","","USD 17.00",""
2014-08-11,"Business","Meal Claim","     26.84","OCBC Titanium","","USD 8.22",""
2014-08-11,"Business","Meal Claim","     20.80","_USD","","",""
2014-08-11,"Business","Meal Claim","     22.59","OCBC Titanium","","USD 6.92",""
2014-08-12,"Business","Meal Claim","     37.78","OCBC Titanium","","USD 11.58",""
2014-08-12,"Business","Meal Claim","     60.68","OCBC Titanium","","USD 18.59",""
2014-08-12,"Business","Meal Claim","     26.48","OCBC Titanium","","USD 8.11",""
2014-08-13,"Business","Meal Claim","    107.23","OCBC Titanium","","USD 33.00",""
2014-08-14,"Business","Meal Claim","     49.68","OCBC Titanium","","USD 15.41",""
2014-08-14,"Business","Meal Claim","     69.04","OCBC Titanium","","USD 21.41",""
2014-08-14,"Business","Meal Claim","     87.06","OCBC Titanium","","USD 27.00",""
2014-08-15,"Business","Meal Claim","     31.73","_USD","","",""
2014-08-15,"Business","Travel Claim","     61.28","OCBC Titanium","","USD 19.00",""
2014-08-15,"Business","Meal Claim","     74.18","OCBC Titanium","","USD 23.00",""
2014-08-15,"Business","Travel Claim","    429.25","OCBC Titanium","","USD 133.10 - JFK tics",""
2014-08-16,"Business","Meal Claim","     51.72","Maybankard Amex","","USD 15.85",""
2014-08-17,"Business","Meal Claim","     23.59","Maybankard Amex","","USD 7.28",""
2014-08-17,"Business","Meal Claim","      6.44","Maybankard Amex","","USD 1.99",""
2014-08-17,"Business","Meal Claim","     12.74","OCBC Titanium","","USD 3.95",""
2014-08-18,"Business","Travel Claim","     46.29","Maybankard Amex","","USD 14.28",""
2014-08-18,"Business","Travel Claim","     57.83","Maybankard Amex","","USD 17.86",""
2014-08-19,"Business","Meal Claim","      9.84","OCBC Titanium","","USD 3.05",""
2014-08-19,"Business","Meal Claim","     36.22","OCBC Titanium","","USD 11.24",""
2014-08-19,"Business","Meal Claim","     97.14","OCBC Titanium","","USD 30.00",""
2014-08-20,"Business","Meal Claim","     23.20","OCBC Titanium","","USD 7.17",""
2014-08-20,"Business","Meal Claim","     36.38","OCBC Titanium","","USD 11.24",""
2014-08-20,"Business","Meal Claim","    162.17","OCBC Titanium","","USD 50.00",""
2014-08-21,"Business","Meal Claim","     45.42","OCBC Titanium","","USD 14.00",""
2014-08-21,"Business","Meal Claim","     18.34","OCBC Titanium","","USD 5.68",""
2014-08-21,"Business","Meal Claim","     26.89","OCBC Titanium","","USD 8.29",""
2014-08-22,"Business","Meal Claim","    129.30","OCBC Titanium","","USD 40.00",""
2014-08-22,"Business","Meal Claim","     87.25","OCBC Titanium","","USD 27.00",""
2014-08-23,"Business","Travel Claim","     39.24","Maybankard Amex","","USD 12.06",""
2014-08-23,"Business","Travel Claim","     63.54","Maybankard Amex","","USD 19.53",""
2014-08-23,"Business","Meal Claim","     21.00","OCBC Titanium","","USD 6.50",""
2014-08-30,"Business","Travel Claim","     64.40","Maybankard Amex","","",""
2014-08-30,"Business","Travel Claim","     21.71","_SGD","","SGD 8.60",""
2014-08-30,"Business","Travel Claim","     65.56","OCBC Titanium","","SGD 25.41",""
2014-08-30,"Business","Meal Claim","     18.46","OCBC Titanium","","SGD 7.15",""
2014-09-04,"Business","Office Claim","     32.51","OCBC Titanium","","USD 10.00",""
2014-09-11,"Business","Office Claim","    697.95","Maybankard Amex","","Team lunch 697.95",""
2014-10-09,"Business","Office Claim","    105.00","OCBC Titanium","","MAGIC TICKET",""
2014-10-29,"Business","Meal Claim","    120.40","Cash","","",""
2014-11-12,"Business","Meal Claim","    208.35","Maybankard Amex","","",""
2014-12-15,"Business","Meal Claim","    197.10","Maybankard Amex","","",""
2014-12-29,"Business","Meal Claim","    220.40","Maybankard Amex","","",""
2015-01-19,"Business","Fee","     40.00","Cash","","SSM registration",""
2015-01-19,"Business","Fee","      0.40","Cash","","",""
2015-01-27,"Business","Meal Claim","    166.90","Maybankard Amex","","",""
2015-01-30,"Business","Meal Claim","    180.00","Cash","","",""
2015-02-04,"Business","Office Claim","      4.85","Cash","","",""

Date,Description,Income Amount,Account,Notes,Device
2012-07-17,"OMG PARADISE","   4500.00","Maybank Savings","",""
2012-07-19,"Coin","      7.65","Coin","",""
2012-07-19,"Coin","      0.10","Coin","",""
2012-07-19,"Coin","      3.30","Coin","",""
2012-07-19,"Angpow","    244.00","Cash","",""
2012-07-23,"Pay","   6000.00","CIMB Saving","July pay",""
2012-08-10,"Claims","    465.00","Maybank Savings","",""
2012-08-24,"Hipic","   2500.00","Maybank Savings","",""
2012-08-29,"Salary","   6000.00","CIMB Saving","",""
2012-08-31,"Interest","      0.20","CIMB Saving","CIMB interest",""
2012-09-04,"Claims","    255.10","Maybank Savings","201208 claims",""
2012-09-20,"Omg Shout Out","   3000.00","CIMB Saving","Omg shout out 3000/5000",""
2012-09-26,"Salary","   6000.00","CIMB Saving","September salary",""
2012-09-26,"Blackberry Appworld","     14.86","Paypal","Translator 201208",""
2012-09-26,"Blackberry Appworld","     43.02","Paypal","Translator 201208",""
2012-09-30,"Cimb Interest","      0.46","CIMB Saving","Interest",""
2012-10-17,"Carloan Cheque","  10416.36","Maybank Savings","13416.36, 3k to Siew Ching",""
2012-10-18,"Maybank Fd","     25.44","Maybank Savings","Fd interest",""
2012-10-18,"Maybank Fd","     25.03","Maybank Savings","Fd interest",""
2012-10-22,"Salary","   6173.60","CIMB Saving","201210 salary",""
2012-10-26,"Playbook","     52.29","Paypal","",""
2012-10-26,"Playbook","     12.59","Paypal","",""
2012-10-31,"CIMB interest","      0.57","CIMB Saving","",""
2012-11-01,"OMG Shoutout","   2500.00","Maybank Savings","",""
2012-11-21,"Playbook","     23.78","Paypal","",""
2012-11-21,"Playbook","     71.62","Paypal","",""
2012-11-28,"Salary","   6292.25","Maybank Savings","Salary 201211",""
2012-11-30,"CIMB Interest","      0.12","CIMB Saving","",""
2012-12-13,"Claims","    289.89","CIMB Saving","201211 claims",""
2012-12-21,"Playbook","      4.22","Paypal","",""
2012-12-21,"Playbook","     27.91","Paypal","",""
2012-12-26,"Car Insurance","    141.89","CIMB Saving","",""
2012-12-31,"CIMB Interest","      0.06","CIMB Saving","",""
